               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038779,             0.05783,           0.0005155,             0.93525,             0.87571,             0.93553,             0.59708,            0.037731,            0.055464,           0.0014008,           0.0082675,           0.0082675,           0.0082675
                  37,            0.039153,            0.058323,          0.00058537,             0.93672,             0.87605,             0.93369,             0.59383,            0.037502,            0.056189,           0.0017434,            0.008218,            0.008218,            0.008218
                  38,            0.038812,            0.057755,          0.00054614,             0.93946,             0.88223,             0.93872,             0.59172,            0.037593,            0.054906,           0.0014257,           0.0081685,           0.0081685,           0.0081685
                  39,            0.039174,             0.05819,           0.0005411,             0.92758,             0.88911,             0.93624,             0.58958,            0.037388,            0.055064,           0.0015157,            0.008119,            0.008119,            0.008119
                  40,            0.039002,            0.057568,          0.00055652,             0.92946,             0.88632,             0.93732,             0.59518,            0.037355,              0.0553,           0.0015204,           0.0080695,           0.0080695,           0.0080695
                  41,            0.038499,            0.057341,          0.00053399,             0.91828,             0.89216,             0.93794,             0.59379,            0.037158,            0.055276,           0.0017943,             0.00802,             0.00802,             0.00802
                  42,            0.038591,            0.056603,          0.00051291,             0.94403,             0.88335,             0.93984,             0.59497,            0.037214,            0.055001,           0.0012555,           0.0079705,           0.0079705,           0.0079705
                  43,            0.038469,            0.056171,          0.00055589,             0.93509,             0.88215,             0.94021,             0.59979,            0.037019,            0.055095,           0.0012692,            0.007921,            0.007921,            0.007921
                  44,             0.03851,            0.057056,          0.00050943,              0.9334,             0.89287,             0.94068,              0.5985,            0.037039,            0.054992,           0.0013736,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038339,            0.056744,          0.00050066,             0.93984,             0.88906,             0.93929,             0.59866,            0.037111,             0.05479,           0.0013305,            0.007822,            0.007822,            0.007822
                  46,            0.038314,            0.057318,          0.00048478,             0.94166,             0.88599,             0.93923,             0.59562,            0.037276,            0.055016,            0.001551,           0.0077725,           0.0077725,           0.0077725
                  47,            0.038502,            0.056568,           0.0004707,             0.94025,             0.89229,             0.93781,             0.59731,            0.037293,            0.055257,           0.0012753,            0.007723,            0.007723,            0.007723
                  48,            0.038396,            0.056542,          0.00047202,             0.93803,             0.88482,             0.93818,             0.60066,            0.037059,            0.054836,           0.0013058,           0.0076735,           0.0076735,           0.0076735
                  49,             0.03827,            0.056225,           0.0004817,             0.93978,             0.88758,             0.94048,             0.60277,            0.037012,            0.054922,           0.0012508,            0.007624,            0.007624,            0.007624
                  50,            0.038374,             0.05637,          0.00050518,             0.93732,             0.88872,             0.94155,              0.6026,            0.037063,            0.055071,           0.0013124,           0.0075745,           0.0075745,           0.0075745
                  51,            0.038069,            0.056908,          0.00043044,             0.93751,             0.89313,             0.94285,             0.60572,            0.036942,            0.054743,           0.0013939,            0.007525,            0.007525,            0.007525
                  52,            0.038494,            0.056746,          0.00046311,             0.93421,             0.89003,             0.94159,             0.60181,            0.037122,            0.054759,           0.0013026,           0.0074755,           0.0074755,           0.0074755
                  53,            0.038013,            0.056085,          0.00049497,             0.93688,             0.88852,             0.94066,             0.60235,             0.03704,            0.054911,           0.0012014,            0.007426,            0.007426,            0.007426
                  54,            0.037919,            0.055934,          0.00044439,             0.93293,             0.89086,             0.94007,             0.60273,            0.037099,            0.054762,           0.0015283,           0.0073765,           0.0073765,           0.0073765
                  55,            0.038006,            0.056631,          0.00046748,             0.93116,             0.89808,             0.94342,             0.60018,            0.037097,            0.055125,           0.0012137,            0.007327,            0.007327,            0.007327
                  56,            0.038079,             0.05606,          0.00046015,             0.93842,             0.89268,             0.94285,             0.60358,            0.037006,            0.054916,           0.0010004,           0.0072775,           0.0072775,           0.0072775
                  57,            0.038075,            0.055507,          0.00048694,             0.93217,             0.88577,             0.94218,              0.6057,            0.036964,            0.055068,             0.00144,            0.007228,            0.007228,            0.007228
                  58,            0.037765,            0.056458,          0.00047385,             0.93623,             0.89496,             0.94243,              0.6064,            0.036795,             0.05463,           0.0014254,           0.0071785,           0.0071785,           0.0071785
                  59,            0.038089,            0.057148,          0.00045115,             0.93982,             0.88949,             0.94059,             0.60499,            0.036915,            0.054659,           0.0012709,            0.007129,            0.007129,            0.007129
                  60,            0.038012,            0.056152,          0.00040522,             0.93455,             0.89279,             0.94338,             0.60506,            0.037038,            0.055016,           0.0014503,           0.0070795,           0.0070795,           0.0070795
                  61,            0.037918,             0.05612,          0.00040967,             0.93669,             0.89737,             0.94286,             0.60669,            0.036834,            0.054972,           0.0013074,             0.00703,             0.00703,             0.00703
                  62,            0.037948,            0.056783,          0.00042112,             0.92497,             0.89968,             0.94232,             0.60714,            0.036831,             0.05485,           0.0016901,           0.0069805,           0.0069805,           0.0069805
                  63,            0.037824,            0.056096,          0.00044008,             0.93302,             0.89257,             0.93892,             0.60498,            0.036769,            0.054485,           0.0014473,            0.006931,            0.006931,            0.006931
